"","Microbotryomycetes_ord_Incertae_sedis","Chaetothyriales","Tritirachiales","Cystobasidiales","other","Cystobasidiomycetes_ord_Incertae_sedis","Malasseziales","Pucciniales","Amylocorticiales","other","Helotiales","Verrucariales","Trichosphaeriales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Agaricomycetes_ord_Incertae_sedis","Dothideales","Tilletiales","Ustilaginales","Xylariales","Erythrobasidiales","Eurotiales","Trichosporonales","Mucorales","Filobasidiales","Myrmecridiales","Microascales","other","other","Diaporthales","Atheliales","Cystofilobasidiales","Teloschistales","Saccharomycetales","Glomerellales","Georgefischeriales","Robbauerales","Pleosporales","other","Coniochaetales","Trechisporales","Entylomatales","Pezizales","Lichenostigmatales","Botryosphaeriales","Sordariales","other","Hypocreales","Tremellales","Polyporales","Agaricostilbales","Caliciales","Gloeophyllales","Russulales","Agaricales","Capnodiales","diversity"
"F0134",0,0,0,0,0,0,0.725056241259804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520763665106098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163738067732717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591293244968687,4
"F0136",0,0,0,0,0,0,0.354995589672682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734975087610556,0,0,0,0,0,0,0,0,0,0,0,0.118852361313086,0.0295253534221756,0,0,0.287410303478199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135718883352802,6
"F0138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724987021733335,0,0,0,0,0,0,0,0,0,0,0,0.168254458209981,0,0,0,0.106758520056683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0140",0,0.0948660714285714,0,0,0,0,0.399210164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505923763736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122769296925392,0,0,0,0,0,0,0,0,0,0,0,0.651365297785423,0,0.225865405289185,0,0,0,0,0,0,0,0,3
"F0146",0,0,0,0,0,0,0.45100193189136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161331868631388,0,0,0.195310428425319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192355771051934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"F0148",0,0,0,0,0,0,0.630559540889527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369440459110473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146347109854762,0,0,0,0,0,0,0,0,0,0,0.0485183741105371,0,0,0,0.115642362803392,0,0,0,0,0,0.0361389999025246,0.653353153328785,5
"F0153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0157",0,0,0,0,0,0,0.431670732340271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545492292520891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51378003840764,3
