"","Wickerhamomyces_anomalus","Malassezia_sympodialis","Wallemia_ichthyophaga","Candida_tropicalis","Pyrenophora_tritici-repentis","Malassezia_restricta","Sporisorium_graminicola","Debaryomyces_hansenii","Stereum_hirsutum","Pneumocystis_jirovecii","Aureobasidium_pullulans","Cyphellophora_europaea","Candida_glabrata","Pseudozyma_hubeiensis","Hyphopichia_burtonii","Cyberlindnera_jadinii","Torulaspora_delbrueckii","Saccharomyces_cerevisiae","Trichosporon_asahii","Alternaria_alternata","Coniosporium_apollinis","Ramularia_collo-cygni","Aureobasidium_namibiae","Malassezia_globosa","Penicillium_expansum","Rhodotorula_graminis","Agaricus_bisporus","Schizophyllum_commune","Candida_orthopsilosis","Bipolaris_zeicola","Tilletiopsis_washingtonensis","Byssochlamys_spectabilis","Fusarium_oxysporum","Candida_albicans","diversity"
"F0514",0,0,0,0,0,0.823550575657895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176449424342105,0,0,0,0,0,0,0,0,0,0,2
"F0516",0,0,0,0,0,0.823105628692858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176894371307142,0,0,0,0,0,0,0,0,0,0,2
"F0517",0,0,0,0,0,0.652923460380102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347076539619898,0,0,0,0,0,0,0,0,0,0,2
"F0522",0,0,0,0,0,0.260580123632905,0,0,0,0,0,0,0,0,0.739419876367095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0525",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0580",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0854",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0576",0,0,0,0,0,0,0,0.842010154031495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157989845968505,0,0,0,0,0,0,0,0,0,0,2
"F0634",0,0,0,0,0,0.32316715542522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67683284457478,0,0,0,2
"F0637",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0642",0,0,0,0,0,0.352964531498147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647035468501853,0,0,0,0,0,0,0,0,0,0,2
"F0644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0646",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0648",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0650",0,0,0,0,0,0.31243887103535,0,0,0,0,0,0,0,0,0,0,0,0.0428601369288808,0,0,0,0.644700992035769,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0653",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0656",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0658",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0660",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0661",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0662",0,0,0.292510800440068,0,0,0.367885797085894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339603402474039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0665",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0666",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0868",0,0,0,0,0,0.453622751482263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546377248517737,0,0,0,2
"F0870",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0871",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0872",0,0.0643421089601304,0,0,0,0.597145345733472,0,0,0,0,0.263886937708971,0,0,0,0,0,0,0,0,0,0,0,0,0.0746256075974263,0,0,0,0,0,0,0,0,0,0,4
"F0874",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0875",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0877",0,0,0,0,0,0.353339065634852,0,0.646660934365148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0860",0,0,0,0,0,0.743456854107282,0,0,0,0,0,0.126043016325473,0,0,0,0,0,0.130500129567245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0878",0,0,0,0,0,0.181936057496388,0,0,0,0,0,0,0,0,0,0,0,0.566072685511058,0,0.200385285073908,0,0,0,0,0,0,0.0516059719186456,0,0,0,0,0,0,0,4
"F0880",0,0,0,0,0,0.378076486179477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621923513820523,0,0,0,0,0,0,0,0,0,0,2
"F0881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"F0883",0,0,0,0,0,0.824968434343434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175031565656566,0,0,0,0,0,0,0,0,0,0,2
"F0884",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0885",0,0,0,0,0,0.180385625520466,0,0.365127153929921,0,0,0,0,0,0,0.454487220549612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0886",0,0,0,0,0,0.307418608788472,0,0.4959971535314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196584237680128,0,0,0,0,0,0,0,0,0,0,3
"F0887",0,0,0,0,0,0.453256870807185,0,0.546743129192815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0862",0,0,0,0,0,0.721805606115763,0,0,0,0,0,0,0,0,0.177065890061886,0,0,0.101128503822352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0865",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0866",0,0.200723818140692,0,0,0,0.41818593078489,0,0.216150192264194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164940058810224,0,0,0,0,0,0,0,0,0,0,4
"F0867",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F1078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1079",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1081",0,0,0,0,0,0,0,0.909775680821124,0,0,0,0,0,0,0,0,0,0.0902243191788759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1082",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1553",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1554",0,0,0,0,0,0.448986265533028,0,0,0,0,0.551013734466972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1555",0,0,0,0,0,0.264121062818934,0,0,0,0,0,0,0,0,0,0,0,0.429174731655816,0,0,0,0,0,0.306704205525251,0,0,0,0,0,0,0,0,0,0,3
"F1556",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1557",0,0,0,0,0,0.322467876039305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46334089191232,0,0,0,0.214191232048375,0,0,0,0,0,0,3
"F1561",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1563",0,0,0,0,0,0.863250373198248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136749626801752,0,0,0,0,0,0,0,0,0,0,2
"F1564",0,0,0,0,0,0.662656518536705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337343481463295,0,0,0,0,0,0,0,0,0,0,2
"F1565",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1566",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1573",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F1575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1578",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1579",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1580",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1581",0,0,0,0,0,0.682543802725503,0,0,0,0,0,0,0,0,0,0,0,0.251914341336794,0,0,0,0,0,0.0655418559377028,0,0,0,0,0,0,0,0,0,0,3
"F1583",0,0,0,0,0,0.60558132995923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39441867004077,0,0,0,0,0,0,0,0,0,0,2
"F1585",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1586",0,0,0,0,0,0.467338631517736,0,0,0,0,0,0,0,0,0,0,0,0.532661368482264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1587",0,0,0,0,0,0.838313441937451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161686558062549,0,0,0,0,0,0,0,0,0,0,2
"F1588",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
