"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa837e4b0c9d6adf702c8",44,0,0,1
"13767.58cfa832e4b0c9d6adf6d7a6",9,2,0,1
"13767.58cfa838e4b0c9d6adf70c0d",5,1,0,1
"13767.58cfa832e4b0c9d6adf6d76f",25,0,0,1
"13767.58cfa833e4b0c9d6adf6d901",4,1,0,0
"13767.58cfa833e4b0c9d6adf6d95a",7,0,0,0
"13767.58cfa838e4b0c9d6adf70a70",5,1,0,0
"13767.58cfa832e4b0c9d6adf6d7d8",62,2,0,3
"13767.58cfa838e4b0c9d6adf70b60",15,2,0,1
"13767.58cfa835e4b0c9d6adf6edbe",62,1,0,2
"13767.58cfa838e4b0c9d6adf70972",22,0,0,1
"13767.58cfa835e4b0c9d6adf6ed70",2,2,0,0
"13767.58cfa832e4b0c9d6adf6d797",14,1,0,0
"13767.58cfa835e4b0c9d6adf6edc4",93,2,0,2
"13767.58cfa837e4b0c9d6adf70234",3,1,0,0
"13767.58cfa832e4b0c9d6adf6d836",11,0,0,0
"13767.58cfa833e4b0c9d6adf6d9ab",11,0,0,0
"13767.58cfa835e4b0c9d6adf6ef2c",9,1,0,0
"13767.58cfa835e4b0c9d6adf6ed3a",1,1,0,0
"13767.58cfa832e4b0c9d6adf6d7ec",12,1,0,1
"13767.58cfa838e4b0c9d6adf70a51",6,1,0,0
"13767.58cfa835e4b0c9d6adf6ed1d",7,2,0,0
"13767.58cfa838e4b0c9d6adf70984",33,2,0,1
"13767.58cfa833e4b0c9d6adf6d913",24,0,0,1
"13767.58cfa838e4b0c9d6adf70aa2",7,1,0,0
"13767.58cfa832e4b0c9d6adf6d6c8",17,1,0,2
"13767.58cfa838e4b0c9d6adf70c13",17,0,0,1
"13767.58cfa832e4b0c9d6adf6d7fa",9,0,0,1
"13767.58cfa837e4b0c9d6adf70282",6,0,0,0
"13767.58cfa833e4b0c9d6adf6d894",2,0,0,0
"13767.58cfa832e4b0c9d6adf6d6a0",5,0,0,0
"13767.58cfa838e4b0c9d6adf70b94",8,0,0,1
"13767.58cfa839e4b0c9d6adf71304",0,2,0,0
"13767.58cfa838e4b0c9d6adf706e0",48,2,0,2
"13767.58cfa838e4b0c9d6adf708f2",11,0,0,0
"13767.58cfa832e4b0c9d6adf6d748",36,2,0,1
"13767.58cfa83be4b0c9d6adf7204d",1,2,0,0
"13767.58cfa832e4b0c9d6adf6d7cc",4,0,0,0
"13767.58cfa832e4b0c9d6adf6d6be",17,0,0,1
"13767.58cfa838e4b0c9d6adf70901",8,1,0,0
"13767.58cfa832e4b0c9d6adf6d820",137,2,0,4
"13767.58cfa833e4b0c9d6adf6d939",7,0,0,0
"13767.58cfa832e4b0c9d6adf6d6bc",7,2,0,0
"13767.58cfa83be4b0c9d6adf71fe4",1,1,0,0
"13767.58cfa838e4b0c9d6adf706c1",26,2,0,1
"13767.58cfa832e4b0c9d6adf6d742",4,1,0,0
"13767.58cfa838e4b0c9d6adf70c3b",11,0,0,1
"13767.58cfa832e4b0c9d6adf6d803",5,0,0,0
"13767.58cfa833e4b0c9d6adf6d923",3,0,0,0
"13767.58cfa832e4b0c9d6adf6d6ae",3,0,0,0
"13767.58cfa832e4b0c9d6adf6d7d2",5,2,0,0
"13767.58cfa832e4b0c9d6adf6d6d9",1,0,0,0
"13767.58cfa838e4b0c9d6adf705ae",47,0,0,2
"13767.58cfa833e4b0c9d6adf6d932",7,0,0,0
"13767.58cfa833e4b0c9d6adf6d88f",1,1,0,0
"13767.58cfa835e4b0c9d6adf6ed9a",50,2,0,2
"13767.58cfa833e4b0c9d6adf6d921",22,2,0,1
"13767.58cfa837e4b0c9d6adf701e5",12,1,0,0
"13767.58cfa837e4b0c9d6adf702ae",35,0,0,2
"13767.58cfa837e4b0c9d6adf70132",9,2,0,0
"13767.58cfa835e4b0c9d6adf6ecf4",1,2,0,0
"13767.58cfa83be4b0c9d6adf720a3",0,1,0,0
"13767.58cfa833e4b0c9d6adf6d9ee",9,1,0,1
"13767.58cfa832e4b0c9d6adf6d7f6",6,3,0,0
"13767.58cfa837e4b0c9d6adf6ff7f",3,0,0,1
"13767.58cfa833e4b0c9d6adf6d8fa",5,0,0,0
"13767.58cfa833e4b0c9d6adf6d929",3,0,0,0
"13767.58cfa835e4b0c9d6adf6ee04",92,3,0,5
"13767.58cfa837e4b0c9d6adf6ff8c",5,0,0,0
"13767.58cfa833e4b0c9d6adf6d85c",2,0,0,0
"13767.58cfa838e4b0c9d6adf70f61",3,0,0,0
"13767.58cfa838e4b0c9d6adf70bcc",14,1,0,1
"13767.58cfa838e4b0c9d6adf7047b",4,3,0,0
"13767.58cfa833e4b0c9d6adf6db64",14,3,0,1
"13767.58cfa832e4b0c9d6adf6d7dc",12,0,0,1
"13767.58cfa838e4b0c9d6adf70a64",19,0,0,0
"13767.58cfa838e4b0c9d6adf7096e",18,1,0,1
"13767.58cfa832e4b0c9d6adf6d738",9,1,0,1
"13767.58cfa833e4b0c9d6adf6d8c8",19,1,0,1
"13767.58cfa838e4b0c9d6adf706d0",29,1,0,1
"13767.58cfa832e4b0c9d6adf6d776",33,0,0,1
"13767.58cfa838e4b0c9d6adf709d2",19,1,0,0
"13767.58cfa833e4b0c9d6adf6d856",0,1,0,0
"13767.58cfa838e4b0c9d6adf709d4",15,1,0,1
"13767.58cfa833e4b0c9d6adf6d931",2,0,0,0
"13767.58cfa838e4b0c9d6adf7095b",30,2,0,0
"13767.58cfa832e4b0c9d6adf6d826",11,0,0,0
"13767.58cfa838e4b0c9d6adf70da0",14,3,0,1
"13767.58cfa837e4b0c9d6adf701f7",8,1,0,0
"13767.58cfa833e4b0c9d6adf6d869",11,0,0,0
"13767.58cfa838e4b0c9d6adf70b1e",19,2,0,0
"13767.58cfa838e4b0c9d6adf70a6e",8,0,0,0
