"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83ce4b0c9d6adf730b6",20,23,0,0,0,0,10,0,9,0,0,0,27,2,0,0,0,0,0,4,0
"13767.58cfa83ce4b0c9d6adf73050",178,56,0,0,0,0,28,0,22,0,4,0,370,6,0,0,0,5,0,17,0
"13767.58cfa832e4b0c9d6adf6d24e",87,325,8,1,0,0,38,0,374,1,3,0,51,9,2,12,4,1,0,26,2
"13767.58cfa831e4b0c9d6adf6c4c2",13,1090,5,0,1,0,75,0,169,1,1,0,160,1,0,0,0,0,0,27,0
"13767.58cfa832e4b0c9d6adf6d3c0",14,27,1,0,0,0,42,0,16,0,0,0,46,0,0,0,0,0,0,1,0
"13767.58cfa831e4b0c9d6adf6c5c4",2,3,0,0,0,0,5,0,0,0,0,0,17,0,0,2,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c382",46,79,0,0,0,0,26,0,25,0,0,0,102,0,1,0,0,7,0,5,0
"13767.58cfa830e4b0c9d6adf6c2b5",92,46,0,0,0,0,11,0,14,0,1,0,32,0,0,0,0,1,0,3,0
"13767.58cfa83ce4b0c9d6adf731ee",90,41,0,0,0,0,16,0,15,0,8,0,49,13,0,0,0,0,0,8,0
"13767.58cfa83ce4b0c9d6adf72d82",13,326,0,0,0,0,112,0,23,0,3,0,53,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c370",88,128,0,0,0,0,47,0,40,0,0,0,136,5,0,0,0,7,0,12,0
