"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F1577",0,0,0,1,1
"F1579",0,0.514048672566372,0,0.485951327433628,2
"F1581",0,0.420065420413065,0,0.579934579586935,2
"F1583",0,0.473836725177364,0,0.526163274822636,2
"F1586",0,0.379788897576231,0,0.620211102423769,2
"F1588",0,0.20173165566214,0,0.79826834433786,2
"F1605",0,0.128732389271698,0.122926952778833,0.748340657949469,3
"F1608",0,0.568015244796247,0,0.431984755203753,2
"F1609",0,0.482643343051506,0,0.517356656948494,2
"F1613",0,0.882251125067999,0,0.117748874932001,2
"F1615",0,0,0,1,1
"F1616",0,0.280561980639082,0,0.719438019360918,2
"F1618",0,0.731959595959596,0,0.268040404040404,2
"F1622",0,0.28309811827957,0,0.71690188172043,2
"F1624",0,0.553159129223778,0,0.446840870776222,2
"F1625",0,0,0,1,1
"F1252",0,0.751350399248473,0,0.248649600751527,2
"F1353",0,0,0,1,1
"F1355",0,0,0,1,1
"F1371",0,0,0,1,1
"F1256",0,1,0,0,1
"F1383",0,0.0205216090194168,0,0.979478390980583,2
"F1387",0,0.251312113772962,0,0.748687886227038,2
"F1393",0,1,0,0,1
"F1397",0,0,0,1,1
"F1414",0,0.736493700619261,0,0.263506299380739,2
"F1427",0,0,0,1,1
"F1261",0,0.952119231530996,0,0.0478807684690038,2
"F1437",0,0,0,1,1
"F1441",0,1,0,0,1
"F1262",0,0,0,1,1
"F1442",0,0,0,1,1
"F1443",0,0,0,1,1
"F1479",0,0,0,1,1
"F1483",0,0,0,1,1
"F1494",0,0,0,1,1
"F1495",0,0,0,1,1
"F1527",0,0.609676455032538,0,0.390323544967462,2
"F1271",0,0,0,1,1
"F1273",0,1,0,0,1
"F1274",0,0.559602880514577,0,0.440397119485423,2
"F1275",0,0,0,1,1
"F1276",0,1,0,0,1
"F1277",0,0,0.8563649176757,0.1436350823243,2
"F1279",0,1,0,0,1
"F1280",0,0.46277892368273,0,0.53722107631727,2
"F1281",0,0,0,1,1
"F1246",0,0,0,1,1
"F1282",0,1,0,0,1
"F1283",0,0.597428908206866,0,0.402571091793134,2
"F1285",0,0.464211076280042,0,0.535788923719958,2
"F1288",0,0,0,1,1
"F1289",0,1,0,0,1
"F1292",0,0,0,1,1
"F1306",0,0.126682930045493,0,0.873317069954507,2
"F1312",0,0.616068593204192,0,0.383931406795808,2
"F1314",0,0.352652660835445,0,0.647347339164555,2
"F1316",0,0,0,1,1
"F1319",0,0,0,1,1
"F1321",0,1,0,0,1
"F1327",0,1,0,0,1
"F1251",0,0.79815476624608,0,0.20184523375392,2
"F1338",0,1,0,0,1
"F1915",0,0,0,1,1
"F1924",0,0.574081883002377,0,0.425918116997623,2
"F1925",0,0.304211063250963,0,0.695788936749037,2
"F1926",0,0,0,1,1
"F1929",0,0.286729585083731,0,0.713270414916269,2
"F1930",0,0.0207951245605991,0,0.979204875439401,2
"F1931",0,0.315885732638641,0,0.684114267361359,2
"F1933",0,0.787631059898266,0,0.212368940101734,2
"F1916",0,0.735720484992223,0,0.264279515007777,2
"F1935",0,0.98689027991024,0,0.0131097200897602,2
"F1936",0,0,0,1,1
"F1917",0,0.209457456270382,0.0463066432529818,0.744235900476636,3
"F1958",0,0,0,1,1
"F1959",0,0.526563455168394,0,0.473436544831606,2
"F1960",0,0.689970773727119,0,0.310029226272881,2
"F1961",0,0.831047211968137,0,0.168952788031863,2
"F1962",0,0.705324206122837,0,0.294675793877163,2
"F1963",0,0.303112767940354,0,0.696887232059646,2
"F1964",0,0,0,1,1
"F1965",0,0,0,1,1
"F1967",0,0.674531601535175,0,0.325468398464825,2
"F1968",0,0.109247337705313,0,0.890752662294687,2
"F1969",0,0,0,1,1
"F1970",0,1,0,0,1
"F1971",0,0.385792505662666,0,0.614207494337334,2
"F1973",0,0.292005971769815,0,0.707994028230185,2
"F1920",0,0.689672730639263,0,0.310327269360737,2
"F1974",0,0.571743929359823,0,0.428256070640177,2
"F1975",0,0.685625646328852,0,0.314374353671148,2
"F1976",0,1,0,0,1
"F1977",0,0.703855666545238,0,0.296144333454762,2
"F1979",0,0,0,1,1
"F1981",0,1,0,0,1
"F1982",0,0,0,1,1
"F1921",0,0.110108278127262,0.0206814006569059,0.869210321215833,3
"F1984",0,1,0,0,1
"F1985",0,0.650054215511774,0.349945784488226,0,2
"F1986",0,1,0,0,1
"F1987",0,0,0,1,1
"F1990",0,0,0,1,1
"F1991",0,0.0768198276938444,0,0.923180172306156,2
"F1992",0,0.224203007955403,0,0.775796992044597,2
"F1994",0,0,0,1,1
"F1995",0,0,0,1,1
"F1996",0,0.589321167151309,0,0.410678832848691,2
"F1997",0,0.107066756574511,0.113648010788941,0.779285232636548,3
"F1998",0,0.0628020329945009,0.937197967005499,0,2
"F1999",0,0,0,1,1
"F2001",0,0.205385773762069,0,0.794614226237931,2
"F2002",0,0,0,1,1
"F2003",0,1,0,0,1
"F2004",0,0.804920068291169,0,0.195079931708831,2
"F2005",0,0.443507187834145,0,0.556492812165855,2
"F2006",0,0,0,1,1
"F2007",0,0,0,1,1
"F2009",0,0.486224804154564,0,0.513775195845436,2
"F1727",0,0.347247124677483,0,0.652752875322517,2
"F1730",0,1,0,0,1
"F1735",0,0,0,1,1
"F1638",0,0.344690047717887,0,0.655309952282113,2
"F1749",0,0.416623070343705,0,0.583376929656295,2
"F1750",0,0.270748327935052,0,0.729251672064948,2
"F1751",0,0.466059430629632,0.204439980605389,0.329500588764979,3
"F1754",0,0.220086811716852,0,0.779913188283148,2
"F1755",0,0.435665267169137,0,0.564334732830863,2
"F1756",0,0.209249676584735,0,0.790750323415265,2
"F1757",0,0.557745002783812,0,0.442254997216188,2
"F1758",0,0.349039519336549,0,0.650960480663451,2
"F1759",0,0,0,1,1
"F1760",0,0.54011762997386,0,0.45988237002614,2
"F1761",0,0.193892900120337,0,0.806107099879663,2
"F1762",0,0.204562722635012,0,0.795437277364988,2
"F1764",0,0.195334772221004,0,0.804665227778996,2
"F1765",0,0.498473864937047,0,0.501526135062953,2
"F1640",0,0.0931812682280722,0,0.906818731771928,2
"F1766",0,0.62303626160475,0,0.37696373839525,2
"F1767",0,0,0,1,1
"F1769",0,0.20920205471492,0,0.79079794528508,2
"F1770",0,0.823205910430415,0,0.176794089569585,2
"F1771",0,0.554022757023462,0,0.445977242976538,2
"F1772",0,0.317274618030558,0,0.682725381969442,2
"F1774",0,0.735023547085732,0,0.264976452914268,2
"F1775",0,0.862837837837838,0,0.137162162162162,2
"F1641",0,0.133315991415751,0,0.866684008584249,2
"F1776",0,0.590120746432492,0.150603732162459,0.259275521405049,3
"F1778",0,0.390871442417834,0,0.609128557582166,2
"F1779",0,0,0,1,1
"F1780",0,0.291025564269892,0,0.708974435730108,2
"F1781",0,0.68557479948855,0,0.31442520051145,2
"F1642",0,0.401399326250324,0,0.598600673749676,2
"F1810",0,1,0,0,1
"F1811",0,0,0,1,1
"F1812",0,1,0,0,1
"F1813",0,0,0,1,1
"F1815",0,0,0,1,1
"F1816",0,1,0,0,1
"F1817",0,0.0201653428432485,0,0.979834657156752,2
"F1818",0,1,0,0,1
"F1819",0,0.100628688981601,0.0964182031415223,0.802953107876877,3
"F1820",0,0,0,1,1
"F1821",0,0,0,1,1
"F1822",0,0.38271963703176,0,0.61728036296824,2
"F1824",0,0,0,1,1
"F1628",0,0.423230729720806,0,0.576769270279194,2
"F1646",0,0.196671449446895,0,0.803328550553105,2
"F1826",0,1,0,0,1
"F1827",0,1,0,0,1
"F1829",0,1,0,0,1
"F1830",0,0.591412931494607,0,0.408587068505393,2
"F1647",0,0.30035829234226,0,0.69964170765774,2
"F1848",0,0.726404735761684,0,0.273595264238316,2
"F1858",0,0.0223845543567609,0,0.977615445643239,2
"F1861",0,0.0585170085361192,0,0.941482991463881,2
"F1863",0,0.416595587031628,0,0.583404412968372,2
"F1868",0,1,0,0,1
"F1871",0,0.542495807080368,0,0.457504192919632,2
"F1872",0,1,0,0,1
"F1873",0,0.0775488652697246,0,0.922451134730275,2
"F1874",0,0.432974742750234,0.498550046772685,0.0684752104770814,3
"F1900",0,0.334977765425236,0,0.665022234574764,2
"F1901",0,0.355080966909176,0,0.644919033090824,2
"F1903",0,1,0,0,1
"F1904",0,0.487985685071575,0,0.512014314928425,2
"F1905",0,0.457804656310526,0,0.542195343689474,2
"F1654",0,0.487483403201504,0,0.512516596798496,2
"F1906",0,0,0,1,1
"F1908",0,0,0,1,1
"F1909",0,0.234299364699278,0,0.765700635300722,2
"F1910",0,1,0,0,1
"F1911",0,0,0,1,1
"F1914",0,0,0,1,1
"F1630",0,0.0305547522412469,0,0.969445247758753,2
"F1631",0,1,0,0,1
"F1683",0,1,0,0,1
"F1684",0,0.265111557389712,0,0.734888442610288,2
"F1632",0,0.193660125526337,0,0.806339874473663,2
"F1687",0,1,0,0,1
"F1689",0,1,0,0,1
"F1690",0,0,0,1,1
"F1691",0,0.278804020964,0,0.721195979036,2
"F1692",0,1,0,0,1
"F1695",0,1,0,0,1
"F1696",0,0,0,1,1
"F1697",0,1,0,0,1
"F1699",0,0.731533831843881,0,0.268466168156119,2
"F1702",0,1,0,0,1
"F1703",0,0,0,1,1
"F1704",0,0,0,1,1
"F1705",0,0.819706103993971,0,0.180293896006029,2
"F1708",0,0,0,1,1
"F1709",0,0,0,1,1
"F1710",0,0.461806332066068,0,0.538193667933932,2
"F1711",0,1,0,0,1
"F1713",0,0,0,1,1
"F1714",0,0.442880539270371,0,0.557119460729629,2
"F1715",0,0,0,1,1
"F1716",0,0.253247209155375,0,0.746752790844625,2
"F1717",0,0,0,1,1
"F1719",0,0.942325920524973,0,0.0576740794750273,2
"F1720",0,0.124270025027713,0,0.875729974972287,2
"F1721",0,0.842861746696745,0,0.157138253303255,2
"F1722",0,0.484136209967259,0,0.515863790032741,2
"F1724",0,0,0,1,1
