"","Dothideales","Eremomycetales","Mycosphaerellales","Fungi_Ascomycota_Dothideomycetes_other","Pleosporales","Venturiales","Chaetothyriales","Eurotiales","Onygenales","Helotiales","Orbiliales","Fungi_Ascomycota_other_other","Pneumocystidales","Saccharomycetales","Schizosaccharomycetales","Glomerellales","Hypocreales","Magnaporthales","Microascales","Ophiostomatales","Sordariales","Togniniales","Xylariales","Xylonales","Agaricales","Boletales","Corticiales","Gloeophyllales","Polyporales","Russulales","Entylomatales","Georgefischeriales","Microstromatales","Malasseziales","Sporidiobolales","Pucciniales","Tremellales","Trichosporonales","Ustilaginales","Wallemiales","Fungi_Microsporidia_other_other","Glomerales","Mucorales"
"13767.58cfa83be4b0c9d6adf729e3",0,0,6780,0,13,0,6,85,31,8,1,2,4,66,5,7,147289,7,1,1,12,1,1,0,17,34,8,5,5,22,0,0,8,362,60,5,47,2407,14,6,0,3,3
"13767.58cfa834e4b0c9d6adf6e3ec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e126",0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa834e4b0c9d6adf6e49e",0,0,0,0,0,0,0,11,2,0,0,0,0,3,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13767.58cfa83ae4b0c9d6adf71b36",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13767.58cfa834e4b0c9d6adf6e0ff",0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72ac2",0,0,20290,0,5,1,1,47,21,0,0,0,0,8,0,2,20,8,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,96,0,1,1,9951,1,0,0,2,0
"13767.58cfa83ce4b0c9d6adf72cb6",0,0,8549,0,10,0,22,125,33,4,0,1,2,23,2,7,5204,5,1,0,4,0,3,0,3,1,1,0,1,2,0,0,1,28,142,4,8,4158,7,1,0,2,1
"13767.58cfa83ce4b0c9d6adf72d66",0,0,449,0,5,0,0,41,13,1,0,0,0,16,0,2,17,6,0,0,5,1,0,0,2,1,1,2,0,2,0,0,0,29,2,1,3,230,3,0,0,2,0
"13767.58cfa834e4b0c9d6adf6e6bc",0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72b36",0,1,12759,0,6,1,0,87,24,2,0,0,0,16,0,2,264260,17,0,0,16,0,0,0,0,1,0,0,0,0,1,0,0,140,3,1,4,4397,2,0,0,4,1
"13767.58cfa834e4b0c9d6adf6e453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"13767.58cfa83ce4b0c9d6adf72c36",2,0,882,1,12,0,11,45,22,5,0,0,2,19,2,5,5844,4,0,1,6,0,1,0,2,3,1,1,1,3,0,0,1,64,13,1,22,253,9,2,0,2,1
"13767.58cfa83ce4b0c9d6adf72b84",0,0,17298,0,22,1,5,100,46,11,1,3,2,144,10,21,222,6,1,1,15,1,1,0,21,14,6,5,7,14,0,0,25,901,18,3,105,8207,26,4,1,2,5
"13767.58cfa83be4b0c9d6adf72a15",0,3,26831,0,81,1,29,179,118,39,5,4,3,73,8,17,439,4,1,0,15,1,5,0,8,12,5,3,6,47,0,0,2,86,12,2,28,15129,8,34,0,3,1
"13767.58cfa83ce4b0c9d6adf72b7c",0,0,7996,0,3,0,1,22,10,0,0,0,0,3,0,2,14,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,2,2928,1,0,0,3,1
"13767.58cfa83ce4b0c9d6adf72b7d",0,0,9880,0,2,0,0,32,8,1,0,0,0,14,0,4,14,4,0,1,4,0,1,0,1,2,0,0,0,0,0,0,0,70,0,2,4,2764,4,0,0,1,2
"13767.58cfa834e4b0c9d6adf6e6b4",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72bf9",3,0,10645,0,28,0,17,160,64,19,3,13,9,87,26,12,1410,2,1,2,9,0,4,0,28,28,8,9,6,20,0,0,17,116,125,46,117,4770,42,10,0,13,9
