"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0221",0,0.0977735983327403,0,0.0226960809230926,0,0,0,0.0444772022569003,0,0,0,0,0,0,0,0.0756112438367305,0,0,0,0.0531439028109592,0,0,0.706297971839577,6
"F0230",0,0,0,0.215199756641655,0,0,0,0.366923544919895,0,0,0,0.0913607787467045,0.0806327316974245,0,0,0,0,0,0,0.0238288379639018,0,0.0491888055161225,0.172865544514297,7
"F0232",0,0,0,0,0,0,0.116951198482497,0,0,0,0,0,0.362683221245042,0,0,0,0.239730988101397,0,0,0.280634592171064,0,0,0,4
"F0235",0,0,0,0.0374745845894973,0,0,0,0.322802005188249,0,0,0,0,0.165848699432097,0,0,0.0637138049498703,0,0,0,0,0,0,0.410160905840286,5
"F0236",0,0,0,0.103984400614312,0,0,0,0.135493779227278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76052182015841,3
"F0238",0,0,0,0.211014940382129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152402672029881,0,0.0850272949288895,0.551555092659101,4
"F0240",0,0,0,0.0766326077298978,0,0,0,0.137790611580038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785576780690064,3
"F0248",0,0,0,0.215874593903673,0,0,0,0.237391041914467,0,0,0.0507110014379804,0,0,0,0,0.137815334907419,0,0,0,0,0,0,0.358208027836461,5
"F0259",0,0,0,0.22677986706143,0,0,0,0,0,0,0,0,0,0,0,0,0.20529009235113,0,0,0,0,0,0.567930040587439,3
"F0267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0273",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0278",0,0,0,0,0,0,0,0,0,0,0,0,0.591706395610327,0,0,0,0,0,0,0,0,0,0.408293604389673,2
