"","Malasseziomycetes","Pucciniomycetes","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Exobasidiomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0729",0,0,0,0,0,0,0,0,0,41422,0,0,0,0,0,1
"F0733",0,0,0,0,0,0,0,0,0,58493,25700,0,0,0,0,2
"F0735",0,0,0,0,0,0,0,0,0,20223,0,0,0,0,0,1
"F0737",0,0,0,0,0,0,0,0,0,22502,0,0,0,0,0,1
"F0740",12393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0741",0,0,0,0,0,0,0,0,0,571020,0,0,0,0,0,1
"F0755",33060,0,0,0,0,0,0,0,224260,0,0,0,0,0,0,2
"F0602",0,0,0,0,0,0,0,0,0,0,0,0,0,83122,20318,2
"F0605",0,0,0,5815,0,0,0,0,0,0,0,0,0,0,9758,2
"F0607",0,0,0,0,0,0,0,0,0,0,0,0,7920,0,47158,2
"F0608",0,0,0,0,0,0,0,0,0,0,0,0,0,14683,23356,2
"F0609",3488,0,0,0,0,0,0,0,0,28816,0,0,0,26722,126386,4
"F0574",5300,0,0,0,0,0,19390,0,0,356800,0,0,0,0,0,3
"F0612",0,0,0,0,0,0,13934,0,0,8227,16640,0,0,21861,21591,5
"F0613",0,0,0,0,0,4310,40443,0,0,0,4763,0,0,0,69300,4
"F0616",0,0,0,0,0,0,0,0,0,0,56915,0,0,33530,474040,3
"F0575",0,0,0,23980,0,0,1725400,0,0,0,0,0,0,0,0,2
"F0623",0,0,0,0,0,9311,0,0,0,0,0,0,0,0,24213,2
"F0624",0,0,0,0,0,0,4991,0,0,0,0,0,0,0,0,1
"F0625",6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0629",0,0,0,0,0,0,0,0,0,29117,0,0,0,0,0,1
"F0576",9180,0,0,0,0,0,11826,0,0,48925,0,0,0,0,42183,4
"F0630",0,0,0,0,0,0,7258,0,0,0,0,0,9628,0,0,2
"F0634",11020,0,22560,0,0,0,0,0,0,98230,0,0,23080,14460,43340,6
"F0637",10607,0,0,0,0,0,2355,0,0,3257,0,0,0,4004,3941,5
"F0641",0,0,0,0,0,0,0,0,0,64107,6481,0,0,0,0,2
"F0643",0,0,0,5871,0,0,4818,0,0,0,0,0,0,0,2748,3
"F0644",17155,0,0,0,0,0,87200,0,0,0,20870,0,0,18240,31275,5
"F0646",14484,0,0,0,0,0,12902,0,0,42023,0,0,0,0,107939,4
"F0648",6943,0,0,0,0,0,0,0,0,0,16937,0,0,0,0,2
"F0651",0,0,0,0,0,0,150790,0,0,0,0,0,0,0,0,1
"F0653",2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0656",2675,0,0,0,0,0,0,0,0,0,0,0,0,9248,0,2
"F0658",16097,0,0,0,0,0,17642,0,0,0,0,0,0,0,0,2
"F0660",15875,0,0,0,0,0,0,0,0,0,0,0,0,0,53920,2
"F0661",8063,0,0,0,0,0,0,0,0,0,1831,0,0,0,0,2
"F0666",17265,0,0,0,0,0,22235,0,65410,0,40260,0,0,18695,0,5
"F0868",4514,0,0,0,0,0,2816,0,0,0,4580,0,12742,0,0,4
"F0871",68315,0,0,0,0,0,31140,0,11635,0,9190,0,0,29795,60065,6
"F0875",32923,0,0,7970,0,0,40684,0,12969,8510,11699,0,0,0,14714,7
"F0877",11832,0,0,0,0,0,10470,0,0,11281,0,0,0,7368,0,4
"F0860",71725,0,0,25995,0,0,63725,0,8870,12590,0,0,0,0,429755,6
"F0878",24555,0,0,0,0,0,10190,0,0,84165,10525,0,0,38725,101965,6
"F0880",34620,0,0,11705,0,0,56780,0,0,0,9660,0,0,9675,77775,6
"F0883",29574,0,0,0,0,0,5154,0,0,6975,0,0,0,0,8614,4
"F0885",7687,0,0,0,0,0,6858,0,16717,17479,4142,0,0,20952,8738,7
"F0887",15463,0,0,0,0,0,0,0,0,10106,0,0,0,0,7886,3
"F0901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40402,1
"F0902",7163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0903",2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17665,1
"F0907",4818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0863",16185,0,0,10645,0,0,15495,0,0,1000690,56820,0,0,0,41735,6
"F0909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7479,1
"F0922",31595,0,0,0,0,0,0,0,0,0,0,0,0,0,153225,2
"F0923",12553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0928",10225,0,0,0,0,0,0,0,0,0,0,0,0,0,7683,2
"F0930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18368,1
"F0931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18124,1
"F0866",86635,0,0,7415,0,11810,117515,0,0,23890,0,0,0,54160,65835,7
"F0944",9290,0,0,0,0,0,0,0,0,0,0,0,0,9594,4533,3
"F0945",0,0,0,0,0,0,0,0,0,0,8684,0,0,0,10705,2
"F0946",2556,0,0,0,0,0,0,0,0,0,0,0,0,19079,42557,3
"F0947",20865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16583,1
"F0950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13381,1
"F0951",3650,0,0,0,0,0,0,0,0,0,2148,0,0,0,0,2
"F0952",25772,0,0,0,0,0,0,0,0,0,0,0,0,0,30396,2
"F0953",0,0,0,0,0,0,5897,0,0,0,0,0,0,0,19478,2
"F1150",13700,0,0,0,0,0,0,0,0,0,0,0,0,27862,0,2
"F1151",26111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1152",29308,0,0,0,0,0,0,0,0,0,0,0,47253,0,61210,3
"F1153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47538,1
"F1156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29065,1
"F1157",0,0,0,0,0,0,0,0,0,1092,0,0,0,0,0,1
"F1158",0,0,0,0,0,0,1561,0,15519,0,0,0,0,0,0,2
"F1159",33118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1162",164685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1164",0,0,0,0,0,0,0,0,0,31524,0,0,0,0,0,1
"F1165",33650,0,0,0,0,0,0,0,25379,46619,0,0,0,0,0,3
"F1166",43407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1167",0,0,0,0,0,0,0,0,0,0,35651,0,0,0,0,1
"F1168",0,0,0,0,0,0,0,0,0,36564,0,0,0,0,0,1
"F1169",30557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1170",24459,0,0,0,0,0,0,0,0,8584,0,0,0,0,0,2
"F1173",51075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31951,1
"F1186",0,0,0,0,0,0,0,0,1370470,0,0,0,0,0,85860,2
"F1193",0,0,0,668790,0,0,0,0,0,0,0,0,0,0,0,1
"F1218",63480,0,0,0,0,0,114660,0,42220,968560,408320,0,0,0,1179140,6
"F1219",0,0,0,1109730,0,0,0,0,0,0,0,0,0,0,56240,2
"F1222",10872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1223",0,0,0,0,0,0,0,0,0,34688,0,0,0,0,1366,2
"F1224",37742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1229",816640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1230",15233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1232",0,0,0,0,0,0,0,0,0,22310,0,0,0,0,0,1
"F1235",0,0,0,0,0,0,60626,0,0,0,15045,0,0,0,0,2
"F1238",18138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1239",0,0,0,0,0,0,14507,0,0,0,0,0,0,0,74972,2
"F1051",26710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1052",11647,0,0,0,0,0,0,0,0,0,0,0,0,0,19719,2
"F1053",0,0,0,0,0,0,0,0,0,0,0,0,0,54484,0,1
"F1054",0,0,0,0,0,0,15453,0,0,0,0,0,0,0,0,1
"F1058",0,0,0,0,0,0,0,0,0,0,0,0,0,146955,414685,2
"F1061",0,0,0,0,0,0,0,0,0,8240,0,0,0,0,0,1
"F1063",31953,0,0,0,0,0,0,0,0,5103,0,0,0,0,0,2
"F1064",25308,0,0,0,0,0,0,0,0,0,0,0,0,0,40667,2
"F1065",32601,0,0,0,0,0,0,0,0,0,20871,0,0,0,0,2
"F1066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26653,1
"F1070",0,0,0,0,0,0,0,0,0,13532,0,0,0,0,0,1
"F1074",0,0,0,0,0,0,0,0,0,68198,0,0,0,0,0,1
"F1076",138920,0,0,0,0,0,0,0,0,0,0,0,0,0,17820,2
"F1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29752,1
"F1078",0,0,0,0,0,0,0,0,0,12810,0,0,13263,0,16465,3
"F1079",33178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1081",0,0,0,0,0,0,235580,0,0,669900,0,0,0,0,0,2
"F1082",22447,0,0,0,0,0,0,0,0,0,0,0,0,0,30868,2
"F1083",0,0,0,0,0,0,0,0,0,0,885020,0,0,0,0,1
"F1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,64257,1
"F1094",26515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1120",33153,0,0,0,0,0,0,0,0,0,4473,0,0,0,0,2
"F1123",0,0,0,0,0,0,0,0,0,0,0,0,0,38800,0,1
"F1129",12607,0,0,0,0,0,0,0,0,1898,0,0,0,0,45213,3
"F1137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16010,1
"F1138",0,0,0,0,0,0,0,0,68565,94624,0,0,0,0,0,2
"F1145",0,0,0,0,0,0,0,0,70662,0,0,0,0,0,0,1
"F1147",100982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1551",0,0,0,0,0,0,462920,0,0,0,0,0,0,0,0,1
"F1553",0,0,0,0,0,0,9799,0,0,9906,0,0,0,9250,20706,4
"F1555",16220,0,0,0,0,0,8525,0,0,12195,0,0,0,23575,42205,5
"F1557",105600,0,0,34980,0,0,0,0,16610,0,0,0,13240,22670,69120,6
"F1558",0,0,0,0,0,0,66900,0,0,0,0,0,0,0,0,1
"F1561",2173,0,0,9265,0,0,15602,0,0,0,0,0,0,0,0,3
"F1563",51746,0,0,0,0,0,29742,0,0,0,10920,0,0,11301,81884,5
