"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa831e4b0c9d6adf6c8cc",2,6,0,0,0,0,18,0,0,0,0,0,6426,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf21",159,3,0,0,0,0,2,0,1,0,1,0,17767,0,0,71,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf77",84,0,0,0,0,0,2,0,0,0,2,0,9287,0,0,35,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf1f",791,23,3,0,0,0,1,0,6,0,0,2,15880,0,0,341,1,0,0,3,2
"13722.58cfa830e4b0c9d6adf6bf9f",10,5,0,0,0,0,4,0,0,0,0,1,15841,0,0,3,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bfe8",2,0,1,0,0,0,0,0,0,0,4,0,3550,0,0,2,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c29e",35,0,0,0,0,0,3,0,0,0,0,0,5652,0,0,10,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2da",6,1,0,0,0,0,2,0,0,0,1,0,4592,0,0,6,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2ec",4,1,0,0,0,0,0,0,0,0,0,0,4895,0,0,3,0,0,0,1,0
"13722.58cfa831e4b0c9d6adf6c384",41,0,0,0,0,0,0,0,0,0,0,0,17117,0,0,17,0,0,0,2,0
"13722.58cfa831e4b0c9d6adf6c4ce",38,8,0,0,0,0,6,0,1,0,0,0,9512,0,0,13,0,0,0,1,0
"13722.58cfa830e4b0c9d6adf6c147",244,3,0,0,0,0,1,0,0,0,0,0,5566,0,0,116,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c1a1",155,0,0,0,0,0,527,0,0,0,0,0,5574,0,0,72,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c5ab",141,2,0,0,0,0,1,0,0,0,0,0,8832,0,0,65,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c5ae",488,5,0,0,0,0,2,0,2,0,1,0,7215,0,0,188,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c5c2",141,2,0,0,0,0,1,0,0,0,0,0,8832,0,0,65,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c64c",488,5,0,0,0,0,2,0,2,0,1,0,7217,0,0,188,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c6d8",572,7,1,0,0,0,0,0,1,0,0,0,7124,0,0,225,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf1c",214,56,0,0,0,0,12,1,16,0,4,1,48278,0,1,58,0,0,0,4,1
"13722.58cfa830e4b0c9d6adf6bf60",13,9,0,0,0,0,8,0,1,0,0,0,28411,0,0,7,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf68",1,2,0,0,0,0,0,0,1,0,0,0,1279,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bf95",1,0,0,0,0,0,2,0,0,0,0,0,4382,0,0,0,0,0,0,0,1
"13722.58cfa830e4b0c9d6adf6bf14",71,46,0,0,0,0,6,0,12,0,0,1,40848,0,0,30,1,0,0,3,1
"13722.58cfa830e4b0c9d6adf6c290",2,4,0,0,0,0,0,0,2,0,0,0,31704,0,1,2,1,0,0,0,2
"13722.58cfa830e4b0c9d6adf6c312",2,6,0,0,0,0,0,0,0,0,0,0,6474,0,0,3,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2d6",2,0,0,0,0,0,0,0,1,0,0,0,8044,0,0,1,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2e4",1,0,0,0,0,0,0,0,0,0,0,0,6499,0,0,1,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c350",0,0,0,0,0,0,0,0,0,0,0,0,3612,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c37a",9,2,0,0,0,0,5,0,3,0,0,1,18334,0,1,6,0,0,0,0,2
"13722.58cfa831e4b0c9d6adf6c465",30,6,2,0,0,0,3,0,2,0,0,0,18713,0,1,21,0,0,0,1,1
"13722.58cfa831e4b0c9d6adf6c4b7",30,24,2,0,0,0,629,0,10,0,3,0,31200,0,1,10,1,0,0,2,2
"13722.58cfa831e4b0c9d6adf6c632",0,0,0,0,0,0,1,0,0,0,2,0,5667,0,0,2,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c88c",0,2,0,0,0,0,1,0,1,0,0,0,2091,0,0,1,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c945",1,9,0,0,0,0,9,0,7,0,1,0,14218,0,1,3,0,0,0,1,0
"13722.58cfa831e4b0c9d6adf6cd23",1,3,1,0,0,0,2,0,0,0,1,0,20029,0,0,1,0,0,0,0,2
"13722.58cfa830e4b0c9d6adf6bf26",57,21,0,0,0,0,0,0,3,0,0,1,26333,0,0,20,0,0,0,0,0
