"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa82fe4b0c9d6adf6b98e",2,9,0,0,0,0,2,0,0,1,0,0,5129,0,0,1,0,0,0,0,1
"13722.58cfa830e4b0c9d6adf6baf6",4,10,0,0,0,0,1,0,2,0,0,0,10864,0,0,2,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bac2",123727,12,0,0,0,0,3,0,16,0,0,1,3742,0,0,62390,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6afc4",8453,11,0,0,0,0,0,0,0,0,0,0,5467,0,0,3850,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae48",7613,824,3,0,0,0,41,0,86,27,70,56,12421,0,0,1871,25,1,0,6,1
"13722.58cfa82fe4b0c9d6adf6b6fa",3777,41,1,1,1,0,4,0,10,0,0,0,29567,0,2,949,0,0,0,3,2
"13722.58cfa82fe4b0c9d6adf6b7de",19,33,1,0,1,0,5,0,7,1,1,2,14176,0,2,9,0,0,0,6,0
"13722.58cfa82fe4b0c9d6adf6b7fc",2827,84,0,0,0,0,6,0,9,1,6,7,13530,0,0,673,3,0,1,3,1
"13722.58cfa82fe4b0c9d6adf6b7f7",8438,319,1,1,0,0,18,0,36,6,16,30,30069,0,1,2062,18,0,0,6,0
"13722.58cfa82fe4b0c9d6adf6b800",21062,659,3,0,0,0,44,0,77,8,54,58,9261,0,1,5287,25,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b97c",106,213,2,0,0,1,5,0,36,3,4,24,21534,0,0,72,9,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b756",7,28,1,0,0,0,16,0,16,0,0,1,38253,0,0,1,0,0,0,1,2
"13722.58cfa82fe4b0c9d6adf6b9e2",487,701,6,1,0,0,22,0,118,17,30,59,15066,0,1,361,26,0,1,4,2
"13722.58cfa82fe4b0c9d6adf6b99a",1192,1392,3,0,0,0,25,0,176,16,16,145,19382,0,1,611,40,0,0,3,0
"13722.58cfa82fe4b0c9d6adf6b5f0",66,14,1,0,0,0,2,0,4,0,0,0,11226,0,1,28,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6ae5c",63121,126,1,0,0,0,32,0,35,0,100,6,3368,1,0,22436,3,0,0,5,1
"13722.58cfa82fe4b0c9d6adf6b5e6",57,12,1,0,0,0,3,0,5,0,0,0,13140,0,0,21,0,0,0,0,0
"13722.58cfa82ee4b0c9d6adf6b038",23700,86,2,0,0,0,3,0,13,1,4,8,13725,0,0,6998,2,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b6a2",19,61,0,0,0,2,4,0,6,1,2,0,20401,0,0,3,0,1,0,1,0
"13722.58cfa82fe4b0c9d6adf6b6be",15,27,0,1,0,0,4,1,6,0,0,0,16565,0,2,9,0,0,0,2,0
"13722.58cfa82ee4b0c9d6adf6b014",25916,105,0,0,0,0,1,0,17,0,1,8,3595,0,2,7637,2,0,0,2,1
"13722.58cfa82fe4b0c9d6adf6b6dc",61,20,0,0,0,0,3,0,6,0,0,0,13137,0,0,22,0,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b6d2",6,104,4,0,0,0,9,0,42,0,0,0,13945,1,5,8,1,0,0,6,1
"13722.58cfa82fe4b0c9d6adf6b6e4",135,8,0,0,0,0,5,0,3,0,0,0,13411,0,0,48,1,0,0,0,2
"13722.58cfa82fe4b0c9d6adf6b728",239,20,0,0,0,0,4,0,4,0,0,0,10081,0,1,64,0,0,0,2,0
"13722.58cfa82fe4b0c9d6adf6b70a",70,21,0,0,0,0,3,0,6,0,0,0,14387,0,1,34,1,0,0,2,2
"13722.58cfa82fe4b0c9d6adf6b780",130,19,2,1,0,0,4,0,3,0,0,0,17336,0,1,45,0,0,0,1,2
"13722.58cfa82fe4b0c9d6adf6b78c",2,17,1,0,0,0,3,0,4,0,0,0,16288,0,0,4,0,0,0,0,1
"13722.58cfa82fe4b0c9d6adf6b7d5",391,13,0,0,0,0,1,0,1,0,0,1,12088,0,0,131,0,0,0,0,1
"13722.58cfa82fe4b0c9d6adf6b8a7",385,15,0,0,0,0,4,0,4,0,1,3,18319,0,1,117,0,0,0,0,1
"13722.58cfa82fe4b0c9d6adf6b8ea",5,15,3,0,0,0,4,0,3,0,0,0,18278,0,1,5,1,0,0,0,0
"13722.58cfa82fe4b0c9d6adf6b82d",11582,66,1,0,0,0,2,0,16,1,0,6,34707,0,2,3125,5,0,0,1,2
"13722.58cfa82fe4b0c9d6adf6b762",524083,45,0,0,0,0,31,0,21,0,52,3,6812,0,1,244413,2,0,0,3,1
"13722.58cfa82fe4b0c9d6adf6b760",568222,63,1,0,1,0,32,0,22,2,61,4,4800,0,2,269044,0,0,0,3,0
"13722.58cfa82fe4b0c9d6adf6b9a8",41,16,2,0,0,0,3,0,4,0,1,0,15510,0,0,19,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6bada",2,16,3,0,0,0,3,0,3,0,0,0,17924,0,1,3,0,0,0,1,0
"13722.58cfa82fe4b0c9d6adf6b84c",800017,78,0,0,0,0,19,0,40,0,70,4,7086,0,1,380227,1,0,0,4,0
"13722.58cfa82fe4b0c9d6adf6b7ee",54,169,2,0,1,0,9,0,23,1,3,19,26907,0,1,67,4,0,0,2,2
"13722.58cfa82fe4b0c9d6adf6b668",1,33,0,0,0,0,9,0,16,0,4,0,20163,0,2,1,1,0,0,3,2
"13722.58cfa82fe4b0c9d6adf6b7fe",762,415,2,0,1,0,21,0,44,3,29,30,18664,1,1,237,20,0,0,8,0
