"","Microbotryomycetes_ord_Incertae_sedis","Chaetothyriales","Tritirachiales","Cystobasidiales","other","Cystobasidiomycetes_ord_Incertae_sedis","Malasseziales","Pucciniales","Amylocorticiales","other","Helotiales","Verrucariales","Trichosphaeriales","Corticiales","Hymenochaetales","Sporidiobolales","Onygenales","Pneumocystidales","Agaricomycetes_ord_Incertae_sedis","Dothideales","Tilletiales","Ustilaginales","Xylariales","Erythrobasidiales","Eurotiales","Trichosporonales","Mucorales","Filobasidiales","Myrmecridiales","Microascales","other","other","Diaporthales","Atheliales","Cystofilobasidiales","Teloschistales","Saccharomycetales","Glomerellales","Georgefischeriales","Robbauerales","Pleosporales","other","Coniochaetales","Trechisporales","Entylomatales","Pezizales","Lichenostigmatales","Botryosphaeriales","Sordariales","other","Hypocreales","Tremellales","Polyporales","Agaricostilbales","Caliciales","Gloeophyllales","Russulales","Agaricales","Capnodiales","diversity"
"F0345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0351",0,0,0,0,0,0,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0368",0,0,0,0,0,0,35625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226345,0,0,0,78505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45040,5
"F0369",0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50753,0,0,0,0,0,0,0,0,0,0,0,2
"F0374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448920,1
"F0376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83800,0,0,0,0,0,0,0,158760,3
