"","Wickerhamomyces_anomalus","Malassezia_sympodialis","Wallemia_ichthyophaga","Candida_tropicalis","Pyrenophora_tritici-repentis","Malassezia_restricta","Sporisorium_graminicola","Debaryomyces_hansenii","Stereum_hirsutum","Pneumocystis_jirovecii","Aureobasidium_pullulans","Cyphellophora_europaea","Candida_glabrata","Pseudozyma_hubeiensis","Hyphopichia_burtonii","Cyberlindnera_jadinii","Torulaspora_delbrueckii","Saccharomyces_cerevisiae","Trichosporon_asahii","Alternaria_alternata","Coniosporium_apollinis","Ramularia_collo-cygni","Aureobasidium_namibiae","Malassezia_globosa","Penicillium_expansum","Rhodotorula_graminis","Agaricus_bisporus","Schizophyllum_commune","Candida_orthopsilosis","Bipolaris_zeicola","Tilletiopsis_washingtonensis","Byssochlamys_spectabilis","Fusarium_oxysporum","Candida_albicans","diversity"
"F0489",0,0,0,0,0,13741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14960,0,0,2632,0,0,0,3
"F0494",0,0,0,0,0,34978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0497",0,0,0,0,0,3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8124,0,0,0,0,0,0,0,0,0,0,2
"F0500",0,0,0,0,0,0,0,6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6562,0,0,0,0,0,0,0,0,0,0,1
"F0507",0,0,0,0,0,22073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20660,0,0,0,0,0,0,1
"F0478",0,0,0,0,0,10743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0514",0,0,0,0,0,32046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6866,0,0,0,0,0,0,0,0,0,0,2
"F0516",0,0,0,0,0,79405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17065,0,0,0,0,0,0,0,0,0,0,2
"F0517",0,0,0,0,0,62870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33420,0,0,0,0,0,0,0,0,0,0,2
"F0522",0,0,0,0,0,32880,0,0,0,0,0,0,0,0,93300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0525",0,10445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0580",0,0,0,0,0,0,0,29428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22879,0,0,0,0,0,0,0,0,0,0,1
"F0841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10135,0,0,0,0,0,0,0,0,0,0,1
"F0851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22990,0,0,0,0,0,0,0,0,0,0,1
"F0854",0,0,0,0,0,22049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0,0,0,0,0,0,0,0,0,1
"F0574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,0,0,1
"F0576",0,0,0,0,0,0,0,48925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9180,0,0,0,0,0,0,0,0,0,0,2
"F0634",0,0,0,0,0,11020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23080,0,0,0,2
"F0637",0,0,0,0,0,10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11967,0,0,0,0,0,0,0,0,0,0,1
"F0642",0,0,0,0,0,13335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24445,0,0,0,0,0,0,0,0,0,0,2
"F0644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17155,0,0,0,0,0,0,0,0,0,0,1
"F0645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6480,0,0,0,0,0,0,0,0,0,0,1
"F0646",0,0,0,0,0,14484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0648",0,0,0,0,0,4235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0650",0,0,0,0,0,17889,0,0,0,0,0,0,0,0,0,0,0,2454,0,0,0,36913,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0653",0,0,0,0,0,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0656",0,0,0,0,0,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0658",0,0,0,0,0,16097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0660",0,0,0,0,0,15875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0661",0,0,0,0,0,8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0662",0,0,10901,0,0,13710,0,0,0,0,0,0,0,0,0,0,0,0,0,12656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0665",0,0,0,0,0,11510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0666",0,0,0,0,0,17265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0868",0,0,0,0,0,4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5437,0,0,0,2
"F0870",0,0,0,0,0,54085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0871",0,0,0,0,0,47390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0872",0,11450,0,0,0,106265,0,0,0,0,46960,0,0,0,0,0,0,0,0,0,0,0,0,13280,0,0,0,0,0,0,0,0,0,0,4
"F0874",0,0,0,0,0,14710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0875",0,0,0,0,0,32923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0877",0,0,0,0,0,6164,0,11281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
