"","Mucoromycota","Basidiomycota","other","Ascomycota","diversity"
"F1696",0,0,0,3845,1
"F1697",0,16785,0,0,1
"F1699",0,8022,0,2944,2
"F1702",0,11211,0,0,1
"F1703",0,0,0,282360,1
"F1704",0,0,0,2513,1
"F1705",0,522120,0,114840,2
"F1708",0,0,0,87655,1
"F1709",0,0,0,47798,1
"F1710",0,14455,0,16846,2
"F1711",0,7869,0,0,1
"F1713",0,0,0,23788,1
"F1714",0,37318,0,46944,2
"F1715",0,0,0,15596,1
"F1716",0,7214,0,21272,2
"F1717",0,0,0,16374,1
"F1719",0,25848,0,1582,2
"F1720",0,10874,0,76629,2
"F1721",0,13077,0,2438,2
"F1722",0,45396,0,48371,2
"F1724",0,0,0,74012,1
